ID_order_delivered_carrier_date,order_delivered_carrier_date,order_delivered_carrier_month,order_delivered_carrier_year
151569,2017-09-19 18:34:16,9,2017
175831,2017-05-04 14:35:00,5,2017
124731,2018-01-16 12:36:48,1,2018
156935,2018-08-10 13:28:00,8,2018
162287,2017-02-16 09:46:09,2,2017
106008,2017-05-17 11:05:55,5,2017
143787,2017-12-12 01:07:48,12,2017
133750,2018-07-05 12:15:00,7,2018
147924,2018-03-28 00:37:42,3,2018
140090,2018-07-03 14:25:00,7,2018
155586,2018-03-27 05:26:55,3,2018
158358,2018-07-30 14:52:00,7,2018
136778,2018-07-25 11:02:00,7,2018
124446,2018-02-20 18:23:28,2,2018
127272,2018-08-15 15:28:00,8,2018
171730,2018-04-27 15:14:00,4,2018
152922,2018-05-16 14:26:00,5,2018
172827,2017-08-15 15:32:51,8,2017
124377,2018-02-26 14:18:32,2,2018
113692,2018-03-26 21:38:48,3,2018
119664,2017-11-22 20:46:54,11,2017
150818,2018-03-16 15:58:31,3,2018
177153,2018-02-27 21:43:46,2,2018
116708,2017-09-12 17:02:57,9,2017
140603,2017-08-07 21:12:34,8,2017
168004,2018-01-23 22:08:06,1,2018
146287,2017-03-27 08:58:04,3,2017
134171,2018-06-12 14:22:00,6,2018
152348,2017-12-07 22:59:30,12,2017
151964,2017-11-28 19:43:52,11,2017
103613,2018-04-09 23:29:32,4,2018
104182,2017-10-16 23:04:43,10,2017
106476,2017-05-29 09:04:02,5,2017
164733,2018-01-17 22:56:36,1,2018
178503,2018-01-17 16:46:04,1,2018
148155,2017-05-16 08:40:49,5,2017
156172,2017-04-17 13:54:37,4,2017
130110,2018-02-08 17:44:13,2,2018
166155,2018-03-07 01:20:05,3,2018
147923,2017-12-28 18:09:35,12,2017
152043,2018-07-06 08:58:00,7,2018
170552,2018-03-29 23:32:44,3,2018
141754,2017-11-27 12:42:15,11,2017
170064,2017-05-24 15:45:01,5,2017
101105,2017-05-19 10:03:49,5,2017
107106,2017-02-01 15:59:46,2,2017
159530,2017-03-20 10:14:45,3,2017
115572,2018-05-21 14:34:00,5,2018
121860,2017-11-29 00:09:20,11,2017
149923,2017-08-15 16:40:22,8,2017
