ID_order_delivered_customer_date,order_delivered_customer_date,order_delivered_customer_month,order_delivered_customer_year
101171,2017-09-20 23:43:48,9,2017
130275,2017-05-12 16:04:24,5,2017
147536,2018-01-22 13:19:16,1,2018
141096,2018-08-14 13:32:39,8,2018
177976,2017-03-01 16:42:31,3,2017
158237,2017-05-22 13:44:35,5,2017
103358,2017-12-18 22:03:38,12,2017
174058,2018-07-09 14:04:07,7,2018
173064,2018-03-29 18:17:31,3,2018
167447,2018-07-04 17:28:31,7,2018
117007,2018-03-29 00:04:19,3,2018
172034,2018-08-07 13:56:52,8,2018
190167,2018-07-31 01:04:15,7,2018
161908,2018-02-26 13:55:22,2,2018
185294,2018-08-22 12:02:27,8,2018
130501,2018-04-30 17:54:25,4,2018
176757,2018-05-18 16:46:31,5,2018
110985,2017-08-19 15:22:17,8,2017
109881,2018-03-12 18:46:34,3,2018
186483,2018-03-27 14:51:47,3,2018
138601,2017-12-09 17:27:23,12,2017
118864,2018-03-22 16:51:52,3,2018
142905,2018-03-08 20:06:33,3,2018
132181,2017-09-23 13:21:21,9,2017
125475,2017-08-16 17:29:59,8,2017
146449,2018-01-26 22:14:02,1,2018
109756,2017-04-07 15:32:47,4,2017
173561,2018-06-13 15:28:25,6,2018
163023,2017-12-20 22:46:28,12,2017
173339,2017-12-11 19:12:55,12,2017
167432,2018-04-25 23:38:41,4,2018
146286,2017-10-27 18:43:56,10,2017
144694,2017-06-07 13:52:52,6,2017
191161,2018-02-01 20:29:51,2,2018
126338,2018-01-23 20:19:04,1,2018
155115,2017-05-22 18:32:21,5,2017
187846,2017-05-23 08:32:07,5,2017
163699,2018-02-15 22:57:01,2,2018
169746,2018-03-16 22:34:53,3,2018
140255,2018-01-17 20:43:29,1,2018
190408,2018-07-12 17:48:49,7,2018
112443,2018-04-06 18:36:23,4,2018
125211,2017-12-22 18:37:40,12,2017
104185,2017-05-26 13:14:50,5,2017
161903,2017-06-08 15:34:07,6,2017
123042,2017-02-13 13:17:47,2,2017
121388,2017-03-28 14:23:33,3,2017
130833,2018-06-04 18:08:23,6,2018
179585,2017-12-02 12:27:33,12,2017
154873,2017-08-24 19:19:56,8,2017
155190,2018-05-02 20:38:44,5,2018
129209,2018-04-05 19:02:44,4,2018
106216,2018-04-05 23:48:37,4,2018
150575,2018-05-30 19:38:36,5,2018
138152,2018-01-04 13:32:46,1,2018
127622,2018-07-31 10:51:58,7,2018
102198,2018-03-22 19:03:31,3,2018
131159,2017-02-07 13:04:37,2,2017
184745,2017-11-07 21:58:51,11,2017
169646,2017-12-04 19:42:16,12,2017
104294,2018-03-16 19:57:52,3,2018
108454,2018-08-11 01:48:33,8,2018
120420,2018-08-28 18:58:21,8,2018
160545,2017-12-26 18:28:29,12,2017
113411,2018-08-30 18:34:37,8,2018
143385,2018-05-10 23:42:18,5,2018
106626,2018-03-12 18:15:42,3,2018
167716,2017-06-29 14:57:35,6,2017
185598,2018-03-19 22:34:41,3,2018
176243,2018-05-18 14:37:38,5,2018
164707,2017-11-27 18:54:09,11,2017
102076,2018-07-06 18:14:47,7,2018
101482,2017-08-07 19:07:30,8,2017
137468,2018-01-06 00:25:43,1,2018
120001,2018-04-16 15:39:49,4,2018
122589,2018-05-03 20:29:24,5,2018
127885,2018-04-29 21:08:59,4,2018
171444,2017-05-30 08:12:15,5,2017
116954,2017-09-12 20:58:45,9,2017
146590,2018-05-03 22:16:51,5,2018
110908,2017-09-27 16:52:40,9,2017
177717,2018-07-24 21:33:38,7,2018
131699,2018-08-30 21:13:48,8,2018
100250,2017-08-28 19:14:03,8,2017
132816,2017-12-07 16:59:21,12,2017
169485,2018-02-26 16:49:02,2,2018
177659,2018-08-09 14:33:40,8,2018
112198,2017-10-23 19:09:12,10,2017
152301,2018-02-26 21:36:00,2,2018
172156,2018-06-19 13:34:35,6,2018
170866,2018-07-21 00:08:29,7,2018
146966,2018-08-27 22:32:15,8,2018
188196,2018-08-24 00:18:38,8,2018
127531,2018-08-07 11:32:11,8,2018
182307,2018-03-27 22:34:57,3,2018
182326,2018-01-10 23:19:43,1,2018
141649,2018-08-27 18:17:49,8,2018
126494,2018-08-02 23:07:33,8,2018
176363,2018-03-28 18:54:53,3,2018
141112,2018-02-08 19:06:53,2,2018
124857,2018-05-18 19:04:11,5,2018
194058,2018-02-14 23:12:52,2,2018
124565,2017-06-02 14:57:49,6,2017
110927,2017-10-05 19:53:19,10,2017
116767,2018-07-11 17:26:37,7,2018
107649,2018-06-04 20:12:57,6,2018
180581,2017-08-29 20:03:08,8,2017
174037,2018-06-18 17:36:49,6,2018
170722,2018-06-04 18:18:29,6,2018
130350,2017-10-12 12:29:59,10,2017
145372,2018-01-30 22:18:47,1,2018
131143,2018-07-13 02:46:28,7,2018
109935,2017-12-29 20:24:23,12,2017
176885,2018-06-15 22:12:30,6,2018
141668,2017-12-26 20:52:29,12,2017
131770,2017-08-03 18:17:47,8,2017
122272,2017-12-16 14:31:43,12,2017
100405,2017-06-16 16:27:55,6,2017
193186,2018-02-19 21:39:12,2,2018
145014,2018-08-16 19:58:24,8,2018
141940,2018-03-07 19:38:34,3,2018
121680,2017-05-30 09:12:44,5,2017
136513,2017-07-26 18:58:35,7,2017
179791,2017-08-30 20:43:32,8,2017
111943,2018-04-13 23:04:44,4,2018
169639,2018-03-02 22:41:48,3,2018
116412,2017-04-27 16:47:35,4,2017
127210,2017-05-03 14:56:08,5,2017
176293,2017-10-27 19:19:43,10,2017
189905,2018-03-27 21:14:59,3,2018
103261,2018-03-20 18:13:37,3,2018
